Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike id,step_id,hour,min,
939,9/1/2015 9:07,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 9:22,Harry Bridges Plaza (Ferry Building),50,329,54,9,7,
509,9/1/2015 9:11,Steuart at Market,74,9/1/2015 9:20,2nd at Townsend,61,547,55,9,11,
389,9/1/2015 9:12,Steuart at Market,74,9/1/2015 9:18,Embarcadero at Sansome,60,259,55,9,12,
535,9/1/2015 9:14,2nd at Townsend,61,9/1/2015 9:23,Harry Bridges Plaza (Ferry Building),50,493,55,9,14,
508,9/1/2015 9:28,Steuart at Market,74,9/1/2015 9:37,Embarcadero at Sansome,60,517,56,9,28,
318,9/1/2015 9:33,Harry Bridges Plaza (Ferry Building),50,9/1/2015 9:38,Embarcadero at Sansome,60,360,57,9,33,
611,9/1/2015 9:37,Steuart at Market,74,9/1/2015 9:47,2nd at Townsend,61,557,57,9,37,
921,9/1/2015 9:50,Harry Bridges Plaza (Ferry Building),50,9/1/2015 10:05,San Francisco Caltrain (Townsend at 4th),70,260,59,9,50,
672,9/1/2015 10:00,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 10:11,Harry Bridges Plaza (Ferry Building),50,432,60,10,0,
477,9/1/2015 10:01,Steuart at Market,74,9/1/2015 10:09,Embarcadero at Sansome,60,677,60,10,1,
414,9/1/2015 10:10,2nd at Townsend,61,9/1/2015 10:17,Harry Bridges Plaza (Ferry Building),50,557,61,10,10,
501,9/1/2015 10:11,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 10:19,Steuart at Market,74,269,61,10,11,
649,9/1/2015 10:11,Harry Bridges Plaza (Ferry Building),50,9/1/2015 10:22,San Francisco Caltrain (Townsend at 4th),70,432,61,10,11,
708,9/1/2015 10:20,2nd at Townsend,61,9/1/2015 10:32,Harry Bridges Plaza (Ferry Building),50,514,62,10,20,
522,9/1/2015 11:33,2nd at Townsend,61,9/1/2015 11:42,Steuart at Market,74,635,69,11,33,
15939,9/1/2015 11:36,Embarcadero at Sansome,60,9/1/2015 16:02,San Francisco Caltrain (Townsend at 4th),70,360,69,11,36,
15940,9/1/2015 11:36,Embarcadero at Sansome,60,9/1/2015 16:02,San Francisco Caltrain (Townsend at 4th),70,487,69,11,36,
770,9/1/2015 12:16,Steuart at Market,74,9/1/2015 12:29,San Francisco Caltrain (Townsend at 4th),70,411,73,12,16,
1334,9/1/2015 12:29,Harry Bridges Plaza (Ferry Building),50,9/1/2015 12:51,Harry Bridges Plaza (Ferry Building),50,363,74,12,29,
173,9/1/2015 12:51,2nd at Townsend,61,9/1/2015 12:54,San Francisco Caltrain 2 (330 Townsend),69,284,77,12,51,
999,9/1/2015 13:05,Harry Bridges Plaza (Ferry Building),50,9/1/2015 13:22,San Francisco Caltrain (Townsend at 4th),70,86,78,13,5,
930,9/1/2015 13:43,Steuart at Market,74,9/1/2015 13:58,San Francisco Caltrain (Townsend at 4th),70,559,82,13,43,
282,9/1/2015 13:50,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 13:55,2nd at Townsend,61,631,83,13,50,
284,9/1/2015 14:26,Embarcadero at Sansome,60,9/1/2015 14:31,Steuart at Market,74,289,86,14,26,
498,9/1/2015 14:55,2nd at Townsend,61,9/1/2015 15:03,Harry Bridges Plaza (Ferry Building),50,537,89,14,55,
626,9/1/2015 14:58,Steuart at Market,74,9/1/2015 15:08,2nd at Townsend,61,509,89,14,58,
395,9/1/2015 15:06,2nd at Townsend,61,9/1/2015 15:13,Harry Bridges Plaza (Ferry Building),50,564,90,15,6,
832,9/1/2015 15:07,Steuart at Market,74,9/1/2015 15:21,San Francisco Caltrain (Townsend at 4th),70,468,90,15,7,
651,9/1/2015 15:10,Steuart at Market,74,9/1/2015 15:21,San Francisco Caltrain (Townsend at 4th),70,419,91,15,10,
864,9/1/2015 15:33,Embarcadero at Sansome,60,9/1/2015 15:48,San Francisco Caltrain (Townsend at 4th),70,677,93,15,33,
762,9/1/2015 15:50,Harry Bridges Plaza (Ferry Building),50,9/1/2015 16:02,San Francisco Caltrain (Townsend at 4th),70,497,95,15,50,
453,9/1/2015 16:06,2nd at Townsend,61,9/1/2015 16:13,Harry Bridges Plaza (Ferry Building),50,361,96,16,6,
1446,9/1/2015 16:06,Harry Bridges Plaza (Ferry Building),50,9/1/2015 16:30,Embarcadero at Sansome,60,564,96,16,6,
1453,9/1/2015 16:06,Harry Bridges Plaza (Ferry Building),50,9/1/2015 16:31,Embarcadero at Sansome,60,363,96,16,6,
430,9/1/2015 16:07,Embarcadero at Sansome,60,9/1/2015 16:14,Steuart at Market,74,96,96,16,7,
468,9/1/2015 16:21,2nd at Townsend,61,9/1/2015 16:29,Steuart at Market,74,611,98,16,21,
482,9/1/2015 16:22,Embarcadero at Sansome,60,9/1/2015 16:30,Harry Bridges Plaza (Ferry Building),50,137,98,16,22,
684,9/1/2015 16:28,Harry Bridges Plaza (Ferry Building),50,9/1/2015 16:39,San Francisco Caltrain (Townsend at 4th),70,531,98,16,28,
315,9/1/2015 16:34,Embarcadero at Sansome,60,9/1/2015 16:39,Steuart at Market,74,363,99,16,34,
738,9/1/2015 16:49,Steuart at Market,74,9/1/2015 17:01,San Francisco Caltrain 2 (330 Townsend),69,418,100,16,49,
864,9/1/2015 16:50,Steuart at Market,74,9/1/2015 17:04,San Francisco Caltrain (Townsend at 4th),70,573,101,16,50,
444,9/1/2015 16:50,2nd at Townsend,61,9/1/2015 16:58,Harry Bridges Plaza (Ferry Building),50,487,101,16,50,
314,9/1/2015 16:52,Embarcadero at Sansome,60,9/1/2015 16:57,Harry Bridges Plaza (Ferry Building),50,564,101,16,52,
611,9/1/2015 16:54,Embarcadero at Sansome,60,9/1/2015 17:05,Harry Bridges Plaza (Ferry Building),50,338,101,16,54,
583,9/1/2015 16:55,Steuart at Market,74,9/1/2015 17:04,San Francisco Caltrain (Townsend at 4th),70,363,101,16,55,
529,9/1/2015 16:55,2nd at Townsend,61,9/1/2015 17:04,Steuart at Market,74,617,101,16,55,
776,9/1/2015 17:00,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 17:13,Steuart at Market,74,557,102,17,0,
628,9/1/2015 17:03,Steuart at Market,74,9/1/2015 17:14,San Francisco Caltrain (Townsend at 4th),70,429,102,17,3,
590,9/1/2015 17:04,Steuart at Market,74,9/1/2015 17:14,San Francisco Caltrain (Townsend at 4th),70,611,102,17,4,
645,9/1/2015 17:04,Steuart at Market,74,9/1/2015 17:15,San Francisco Caltrain 2 (330 Townsend),69,617,102,17,4,
1066,9/1/2015 17:05,Embarcadero at Sansome,60,9/1/2015 17:23,San Francisco Caltrain (Townsend at 4th),70,56,102,17,5,
465,9/1/2015 17:07,Steuart at Market,74,9/1/2015 17:14,Embarcadero at Sansome,60,352,102,17,7,
584,9/1/2015 17:07,Steuart at Market,74,9/1/2015 17:17,San Francisco Caltrain 2 (330 Townsend),69,709,102,17,7,
273,9/1/2015 17:14,Embarcadero at Sansome,60,9/1/2015 17:19,Steuart at Market,74,506,103,17,14,
429,9/1/2015 17:18,Embarcadero at Sansome,60,9/1/2015 17:25,Steuart at Market,74,352,103,17,18,
737,9/1/2015 17:23,Harry Bridges Plaza (Ferry Building),50,9/1/2015 17:35,San Francisco Caltrain (Townsend at 4th),70,514,104,17,23,
600,9/1/2015 17:27,Steuart at Market,74,9/1/2015 17:37,San Francisco Caltrain (Townsend at 4th),70,352,104,17,27,
415,9/1/2015 17:27,Embarcadero at Sansome,60,9/1/2015 17:34,Steuart at Market,74,458,104,17,27,
389,9/1/2015 17:29,Embarcadero at Sansome,60,9/1/2015 17:36,Harry Bridges Plaza (Ferry Building),50,238,104,17,29,
287,9/1/2015 17:31,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 17:35,2nd at Townsend,61,537,105,17,31,
1101,9/1/2015 17:32,Harry Bridges Plaza (Ferry Building),50,9/1/2015 17:50,San Francisco Caltrain (Townsend at 4th),70,137,105,17,32,
395,9/1/2015 17:33,Embarcadero at Sansome,60,9/1/2015 17:40,Steuart at Market,74,376,105,17,33,
685,9/1/2015 17:36,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 17:47,Harry Bridges Plaza (Ferry Building),50,309,105,17,36,
547,9/1/2015 17:40,2nd at Townsend,61,9/1/2015 17:50,Steuart at Market,74,537,106,17,40,
527,9/1/2015 17:43,Harry Bridges Plaza (Ferry Building),50,9/1/2015 17:52,2nd at Townsend,61,549,106,17,43,
859,9/1/2015 17:43,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 17:58,Embarcadero at Sansome,60,352,106,17,43,
715,9/1/2015 17:48,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 18:00,Embarcadero at Sansome,60,562,106,17,48,
930,9/1/2015 17:53,Steuart at Market,74,9/1/2015 18:09,San Francisco Caltrain (Townsend at 4th),70,457,107,17,53,
1129,9/1/2015 18:03,Steuart at Market,74,9/1/2015 18:22,San Francisco Caltrain (Townsend at 4th),70,289,108,18,3,
1241,9/1/2015 18:04,Embarcadero at Sansome,60,9/1/2015 18:25,2nd at Townsend,61,575,108,18,4,
537,9/1/2015 18:06,2nd at Townsend,61,9/1/2015 18:15,Harry Bridges Plaza (Ferry Building),50,549,108,18,6,
671,9/1/2015 18:06,2nd at Townsend,61,9/1/2015 18:17,Steuart at Market,74,505,108,18,6,
460,9/1/2015 18:07,2nd at Townsend,61,9/1/2015 18:15,Harry Bridges Plaza (Ferry Building),50,600,108,18,7,
639,9/1/2015 18:07,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 18:18,Harry Bridges Plaza (Ferry Building),50,425,108,18,7,
1076,9/1/2015 18:10,Harry Bridges Plaza (Ferry Building),50,9/1/2015 18:27,San Francisco Caltrain 2 (330 Townsend),69,402,109,18,10,
126,9/1/2015 18:10,Harry Bridges Plaza (Ferry Building),50,9/1/2015 18:12,Harry Bridges Plaza (Ferry Building),50,475,109,18,10,
349,9/1/2015 18:21,Steuart at Market,74,9/1/2015 18:27,Embarcadero at Sansome,60,458,110,18,21,
495,9/1/2015 18:25,2nd at Townsend,61,9/1/2015 18:33,Harry Bridges Plaza (Ferry Building),50,290,110,18,25,
672,9/1/2015 18:29,Steuart at Market,74,9/1/2015 18:40,San Francisco Caltrain (Townsend at 4th),70,354,110,18,29,
369,9/1/2015 18:29,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 18:36,2nd at Townsend,61,457,110,18,29,
797,9/1/2015 18:32,San Francisco Caltrain 2 (330 Townsend),69,9/1/2015 18:45,Harry Bridges Plaza (Ferry Building),50,441,111,18,32,
257,9/1/2015 18:38,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 18:42,2nd at Townsend,61,501,111,18,38,
633,9/1/2015 18:39,Harry Bridges Plaza (Ferry Building),50,9/1/2015 18:50,2nd at Townsend,61,475,111,18,39,
573,9/1/2015 18:43,Harry Bridges Plaza (Ferry Building),50,9/1/2015 18:52,2nd at Townsend,61,511,112,18,43,
553,9/1/2015 18:45,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 18:54,Steuart at Market,74,137,112,18,45,
861,9/1/2015 19:06,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 19:20,Embarcadero at Sansome,60,636,114,19,6,
331,9/1/2015 20:33,Harry Bridges Plaza (Ferry Building),50,9/1/2015 20:38,Embarcadero at Sansome,60,290,123,20,33,
645,9/1/2015 21:18,Steuart at Market,74,9/1/2015 21:29,San Francisco Caltrain (Townsend at 4th),70,709,127,21,18,
733,9/1/2015 21:37,Steuart at Market,74,9/1/2015 21:50,2nd at Townsend,61,376,129,21,37,
223,9/1/2015 21:59,San Francisco Caltrain (Townsend at 4th),70,9/1/2015 22:03,2nd at Townsend,61,508,131,21,59,
445,9/1/2015 22:50,Steuart at Market,74,9/1/2015 22:58,2nd at Townsend,61,137,137,22,50,
